record_id,split,legacy_temperature_k,assistant_event_assessment,evidence_available,source_role,source_url,doi,candidate_family,family_validated,structure_match_status,sample_conditions_verified,independent_review_complete,training_eligible,issues,assistant_note,api_status,api_semantic_flags,api_events_json
1.495_YMn2Si2,train,460.0,neel,True,primary_paper_excerpt,https://www.sciencedirect.com/science/article/pii/0038109881905329,10.1016/0038-1098(81)90532-9,ThCr2Si2_candidate,False,unverified,False,False,False,neel_not_curie,Temperature must be linked by respective order; 460 belongs to YMn2Si2.,schema_and_quote_valid,,"[{""material_formula"": ""YMn2Si2"", ""type"": ""neel"", ""temperature_k"": 460, ""uncertainty_k"": null, ""qualifier"": ""reported_value"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""YMn2Si2 and YMn2Ge2""}]"
1.689_LuMn2Ge2,train,508.0,unknown,False,unresolved_primary_evidence,,,,False,unverified,False,False,False,primary_evidence_unresolved,Bounded searches performed; only indirect/related-compound leads found. Original MAGNDATA page unavailable. No label inferred.,skipped_no_evidence,,[]
1.253_CeCo2P2,train,440.0,neel,True,primary_paper_excerpt,https://www.sciencedirect.com/science/article/pii/S0925838897004866,10.1016/S0925-8388(97)00486-6,ThCr2Si2_candidate,False,unverified,False,False,False,neel_not_curie;reported_uncertainty,"Preserve 440(5) K, assign Co sublattice only where source context supports it.",failed,,[]
0.1024_BaFe2Se4,test,310.0,neel,True,primary_paper_excerpt,https://www.osti.gov/servlets/purl/1772614,10.1103/PhysRevB.102.180403,BaFe2X4_chain_candidate,False,unverified,False,False,False,canted_afm_not_conventional_fm;approximate_value,"Canted AFM, approximate 310 K; spontaneous moment does not establish a conventional ferromagnet.",schema_and_quote_valid,,"[{""material_formula"": ""BaFe2Se4"", ""type"": ""unknown"", ""temperature_k"": 310, ""uncertainty_k"": null, ""qualifier"": ""approximate"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""unique magnetic transition at ~ 310 K caused by canted antiferromagnetic interactions between the neighboring Fe-Fe atoms""}]"
1.281_YBaCuFeO5,train,446.0,neel,True,primary_paper_excerpt,https://www.sciencedirect.com/science/article/abs/pii/003810989090535J,10.1016/0038-1098(90)90535-J,layered_YBaCuFeO5_candidate,False,unverified,False,False,False,neel_not_curie;oxygen_occupancy_match_pending,Paper concerns oxygen-nonstoichiometric phase; delta and Fe/Cu occupancy must match before using local structure.,schema_and_quote_valid,,"[{""material_formula"": ""YBaCuFeO5"", ""type"": ""neel"", ""temperature_k"": 446, ""uncertainty_k"": null, ""qualifier"": ""reported_value"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""Below the antiferromagnetic ordering temperature TN = 446 K""}]"
0.836_DyFeO3,train,650.0,neel,True,cited_background,https://advanced.onlinelibrary.wiley.com/doi/10.1002/admi.202400938,10.1002/admi.202400938,orthoferrite_candidate,False,unverified,False,False,False,canted_afm_not_conventional_fm;fit_parameter_vs_measurement,Bulk background 645 K differs from local 650 K; article also fixes 650 K as a fit parameter. Do not treat a fixed parameter as a fresh measurement.,schema_and_quote_valid,,"[{""material_formula"": ""DyFeO3"", ""type"": ""neel"", ""temperature_k"": 645, ""uncertainty_k"": null, ""qualifier"": ""reported_value"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""DyFeO3, a canted bulk antiferromagnet with a high Néel temperature (645 K)""}]"
0.619_LaMnAsO,test,317.0,unknown,True,primary_paper_excerpt,https://link.springer.com/article/10.1186/s40679-016-0019-9,10.1186/s40679-016-0019-9,1111_oxypnictide_candidate,False,unverified,False,False,False,impurity_attribution_conflict,"317 K is explicitly linked to MnAs impurity, NOT LaMnAsO. Quarantine target value, do not produce a negative Tc label.",schema_and_quote_valid,,[]
0.802_CuFeS2,train,823.0,neel,True,cited_background_author_uploaded,https://www.researchgate.net/publication/345127292_Low-temperature_synthesis_of_micro-_and_nano-crystalline_CuFeS2_polymorphs,10.1007/s42452-020-03729-4,chalcopyrite_candidate,False,unverified,False,False,False,neel_not_curie;phase_match_pending,"Original paper background on chalcopyrite phase, surfaced through indexed paper text; bulk/phase correspondence not verified.",schema_and_quote_valid,,"[{""material_formula"": ""CuFeS2"", ""type"": ""neel"", ""temperature_k"": 823, ""uncertainty_k"": null, ""qualifier"": ""reported_value"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""antiferromagnetic ordering below its Néel temperature, TN = 823 K""}]"
0.279_Mn3As,train,420.0,unknown,False,unresolved_primary_evidence,,,,False,unverified,False,False,False,primary_evidence_unresolved,Bounded searches performed; only indirect/related-compound leads found. Original MAGNDATA page unavailable. No label inferred.,skipped_no_evidence,,[]
1.420_YBa2Cu3O6,train,420.0,neel,True,cited_background,https://www.ncnr.nist.gov/staff/jeff/NCCOprb68%20144503%202003.pdf,10.1103/PhysRevB.68.144503,123_cuprate_candidate,False,unverified,False,False,False,insufficient_context;original_measurement_pending,Short background excerpts lack full value-order context. Use as retrieval lead; original YBa2Cu3O6 measurement needed.,schema_and_quote_valid,,[]
0.617_KMnSb,test,295.0,unknown,True,database_record,https://www.cryst.ehu.es/magndata/index.php?this_label=0.617,10.1002/(SICI)1521-3749(199901)625:1<31::AID-ZAAC31>3.0.CO;2-S,,False,database_id_matched_coordinates_unverified,False,False,False,upper_bound_lost;event_type_unknown,Exact MAGNDATA record ID matched. Transition upper bound lost in CSV. Experiment temperature is NOT an event. Magnetic type not explicit in excerpt.,schema_and_quote_valid,,"[{""material_formula"": ""KMnSb"", ""type"": ""unknown"", ""temperature_k"": 295, ""uncertainty_k"": null, ""qualifier"": ""upper_bound"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""Transition Temperature: <295 K""}]"
1.292_HoNi2B2C,train,2.0,unknown,True,primary_paper_excerpt,https://www.sciencedirect.com/science/article/abs/pii/S0304885300009756,,borocarbide_candidate,False,unverified,False,False,False,transition_vs_measurement_unresolved;superconducting_tc_ambiguity,Local 2 K not established as a transition; possible measurement/context mismatch. Do not replace it by 5 or 6 K without original record.,schema_and_quote_valid,,"[{""material_formula"": ""HoNi2B2C"", ""type"": ""superconducting"", ""temperature_k"": 8, ""uncertainty_k"": null, ""qualifier"": ""approximate"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""superconductivity (TC≈8 K)""}, {""material_formula"": ""HoNi2B2C"", ""type"": ""neel"", ""temperature_k"": 6, ""uncertainty_k"": null, ""qualifier"": ""approximate"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""magnetism (TN≈6 K)""}]"
0.909_Er2PtGe6,val,9.0,neel,True,primary_paper_excerpt,https://ruj.uj.edu.pl/server/api/core/bitstreams/dda3ca05-1a5e-4955-a8dd-f3859cee9c2b/content,10.1016/j.jmmm.2020.167152,Yb2PdGe6_candidate,False,unverified,False,False,False,cross_source_value_discrepancy;neel_not_curie,Original paper reports 4.9 K for Er2PtGe6; local 9 K is a conflict requiring original record correspondence.,schema_and_quote_valid,,"[{""material_formula"": ""Er2PtGe6"", ""type"": ""neel"", ""temperature_k"": 4.9, ""uncertainty_k"": null, ""qualifier"": ""reported_value"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""antiferromagnetic with the Néel temperatures ranging from 4.9 K for Er2PtGe6 up to 48 K for Tb2PdGe6.""}]"
0.36_NiF2,val,73.0,neel,True,primary_paper_excerpt,https://www.sciencedirect.com/science/article/pii/S0304885306018324,10.1016/j.jmmm.2006.10.607,rutile_candidate,False,unverified,False,False,False,canted_afm_not_conventional_fm,Canted rutile antiferromagnet; target event is not Curie.,schema_and_quote_valid,,"[{""material_formula"": ""NiF2"", ""type"": ""neel"", ""temperature_k"": 73, ""uncertainty_k"": null, ""qualifier"": ""reported_value"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""rutile structure antiferromagnet NiF2 (S=1, TN=73 K)""}]"
0.327_CsMnF4,val,9.0,unknown,True,primary_paper_excerpt,https://www.sciencedirect.com/science/article/abs/pii/0022459680905599,10.1016/0022-4596(80)90559-9,CsFeF4_layer_candidate,False,unverified,False,False,False,fm_order_supported_temperature_unverified,Ferromagnetic structure supported; this excerpt does not establish 9 K or the transition itself. Curie candidate pending temperature evidence.,schema_and_quote_valid,,[]
2.11_TbMg,train,81.0,unknown,False,unresolved_primary_evidence,,,,False,unverified,False,False,False,primary_evidence_unresolved,Bounded searches performed; only indirect/related-compound leads found. Original MAGNDATA page unavailable. No label inferred.,skipped_no_evidence,,[]
1.314_NaFeSi2O6,train,8.0,other,True,primary_thesis_abstract,https://kups.ub.uni-koeln.de/5258/,,pyroxene_candidate,False,unverified,False,False,False,multiple_events;natural_vs_synthetic,"Primary experimental thesis abstract: 8 K spin-density wave onset, 6 K helix; natural versus synthetic samples differ.",schema_and_quote_valid,,[]
1.0.59_Na2MnTeO6,val,5.0,neel,True,primary_paper_excerpt,https://oiks.pnpi.spb.ru/articles/953,10.1103/PhysRevB.105.064416,2H_Na2MnTeO6_candidate,False,unverified,False,False,False,polytype_match_pending;cross_source_value_discrepancy,"P-31c (163) phase in source consistent with local SG, but coordinates not matched. 3R R-3 polytype is distinct; do not transfer its absence of order.",schema_and_quote_valid,,"[{""material_formula"": ""Na2MnTeO6"", ""type"": ""neel"", ""temperature_k"": 5.5, ""uncertainty_k"": null, ""qualifier"": ""reported_value"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""Na2MnTeO6 experiences an antiferromagnetic order at TN = 5.5 K.""}]"
1.775_CaCu3Ti4O12,train,27.0,neel,True,primary_paper_excerpt,https://www.sciencedirect.com/science/article/abs/pii/S0038109802000613,10.1016/S0038-1098(02)00061-3,quadruple_perovskite_candidate,False,unverified,False,False,False,cross_sample_value_discrepancy;neel_not_curie,"Single crystal source gives 24.1(1) K, while older powder work may give 27 K. Preserve sample-dependent discrepancy.",schema_and_quote_valid,,[]
1.68_NaNdFeWO6,train,25.0,neel,True,primary_paper_excerpt,https://www.ornl.gov/publication/polar-and-magnetic-layered-site-and-rock-salt-b-site-ordered-nalnfewo6-ln-la-nd,,AAprimeFeWO6_candidate,False,unverified,False,False,False,possible_cross_compound_attribution;neel_not_curie,"25 K belongs to La compound in this paper, ~21 K to Nd. Potential cross-compound attribution error; retain local value pending record match.",schema_and_quote_valid,,"[{""material_formula"": ""NaNdFeWO6"", ""type"": ""neel"", ""temperature_k"": 21, ""uncertainty_k"": null, ""qualifier"": ""approximate"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""at ∼21 K for NaNdFeWO6""}]"
