record_id,split,seq_id,formula,recorded_temperature_k,natoms,spacegroup_number,priority_reasons,magndata_url
0.212_Sr2Mn3As2O2,train,163,Sr2Mn3(AsO)2,340.0,9,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.212
0.218_Co2SiO4,train,168,Co2SiO4,5.0,28,62,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.218
0.219_Co2SiO4,train,169,Co2SiO4,49.0,28,62,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.219
0.222_CuMnAs,train,170,MnCuAs,480.0,6,129,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.222
0.25_NaOsO3,train,196,NaOsO3,410.0,20,62,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.25
0.274_Mn4N,train,210,Mn4N,745.0,5,221,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.274
0.279_Mn3As,train,213,Mn3As,420.0,8,194,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.279
0.281_Co2V2O7,val,215,V2Co2O7,0.0,44,14,recorded_zero_requires_source_check,https://www.cryst.ehu.es/magndata/index.php?this_label=0.281
0.286_Mn5Ge3,train,218,Mn5Ge3,304.0,16,193,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.286
0.288_NdMnO3,train,220,NdMnO3,78.0,20,62,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.288
0.289_NdMnO3,train,221,NdMnO3,13.0,20,62,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.289
0.299_Fe2O3,test,231,Fe2O3,850.0,40,33,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.299
0.300_Fe2O3,test,232,Fe2O3,500.0,40,33,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.300
0.31_HoMnO3,train,251,HoMnO3,72.0,30,185,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.31
0.32_HoMnO3,train,252,HoMnO3,6.0,30,185,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.32
0.334_CoF3,val,272,CoF3,460.0,8,167,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.334
0.336_NdFeO3,train,273,NdFeO3,760.0,20,62,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.336
0.33_HoMnO3,train,253,HoMnO3,4.0,30,185,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.33
0.351_TbFeO3,test,286,TbFeO3,681.0,20,62,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.351
0.357_CaFe5O7,train,290,CaFe5O7,360.0,26,11,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.357
0.370_NdMnO3,train,222,NdMnO3,73.0,20,62,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.370
0.371_NdMnO3,train,223,NdMnO3,15.0,20,62,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.371
0.377_Mn3Ge,train,300,Mn3Ge,380.0,8,194,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.377
0.379_SmFeO3,train,302,SmFeO3,480.0,20,62,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.379
0.380_SmFeO3,train,303,SmFeO3,670.0,20,62,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.380
0.399_FeOOH,train,314,FeHO2,440.0,16,62,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.399
0.416_LaCrO3,train,264,LaCrO3,380.0,10,167,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.416
0.417_LaCrO3,train,263,LaCrO3,310.0,20,62,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.417
0.423_EuMnSb2,train,329,EuMnSb2,346.0,8,129,recorded_temperature_ge300;identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.423
0.424_EuMnSb2,train,330,EuMnSb2,21.0,8,129,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.424
0.426_EuMnBi2,train,332,EuMnBi2,315.0,8,139,recorded_temperature_ge300;identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.426
0.445_MnCoGe,train,352,MnCoGe,345.0,12,62,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.445
0.452_TbRuAsO,train,360,TbAsRuO,0.0,8,129,recorded_zero_requires_source_check,https://www.cryst.ehu.es/magndata/index.php?this_label=0.452
0.455_RbFeO2,val,363,RbFeO2,737.0,64,61,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.455
0.457_CsFeO2,train,364,CsFeO2,350.0,64,61,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.457
0.465_HoCr2Si2,test,368,Ho(CrSi)2,718.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.465
0.466_ThCr2Si2,train,369,Th(CrSi)2,830.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.466
0.470_BaMn2Sb2,train,373,Ba(MnSb)2,443.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.470
0.471_Ba2Mn3Sb2O2,train,374,Ba2Mn3(SbO)2,314.0,9,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.471
0.473_LaMn2Si2,train,376,La(MnSi)2,310.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.473
0.486_ErCr2Si2,train,388,Er(CrSi)2,692.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.486
0.498_LaMn2Si2,train,377,La(MnSi)2,450.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.498
0.49_Ho2Ru2O7,train,391,Ho2Ru2O7,95.0,22,227,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.49
0.518_TbCr2Si2,train,404,Tb(CrSi)2,758.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.518
0.51_Ho2Ru2O7,train,392,Ho2Ru2O7,4.0,22,227,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.51
0.520_TbCoO3,train,122,TbCoO3,3.0,20,62,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.520
0.528_CrSb,train,408,CrSb,600.0,4,194,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.528
0.541_Mn2FeReO6,train,410,Mn2FeReO6,520.0,20,14,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.541
0.550_Mn3ReO6,test,412,Mn3ReO6,109.0,20,14,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.550
0.551_Mn3ReO6,test,413,Mn3ReO6,99.0,20,14,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.551
0.562_Ce2Ni3Ge5,test,416,Ce2Ni3Ge5,8.0,20,72,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.562
0.565_Ce2Ni3Ge5,test,417,Ce2Ni3Ge5,3.0,20,72,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.565
0.581_FeF3,train,428,FeF3,394.0,8,167,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.581
0.599_CaMnSi,train,444,CaMnSi,360.0,6,129,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.599
0.59_Cr2O3,train,67,Cr2O3,343.0,10,167,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.59
0.601_CaMnGe,val,446,CaMnGe,420.0,6,129,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.601
0.607_RuO2,train,447,RuO2,300.0,6,136,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.607
0.619_LaMnAsO,test,456,LaMnAsO,317.0,8,129,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.619
0.620_NdMnAsO,train,457,NdMnAsO,335.0,8,129,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.620
0.623_NdMnAsO,train,460,NdMnAsO,359.0,8,129,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.623
0.639_Mn2Au,train,468,Mn2Au,1000.0,3,139,known_afm_temperature_semantics;recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.639
0.656_NdMn2Ge2,train,471,Nd(MnGe)2,330.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.656
0.657_PrMn2Ge2,train,472,Pr(MnGe)2,330.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.657
0.65_Fe2O3-alpha,test,233,Fe2O3,955.0,10,167,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.65
0.662_Mn3Sn2,train,474,Mn3Sn2,262.0,20,62,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.662
0.663_Mn3Sn2,train,475,Mn3Sn2,227.0,20,62,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.663
0.682_Ca2FeOsO6,train,483,Ca2FeOsO6,350.0,20,14,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.682
0.699_LiMn6Sn6,train,492,Li(MnSn)6,380.0,13,191,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.699
0.700_TbMn6Sn6,train,22,Tb(MnSn)6,300.0,13,191,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.700
0.702_TbMn6Sn6,train,23,Tb(MnSn)6,423.0,13,191,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.702
0.705_HoMn6Sn6,train,495,Ho(MnSn)6,376.0,13,191,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.705
0.72_CaMnBi2,train,509,CaMnBi2,300.0,8,129,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.72
0.733_AgRuO3,train,512,AgRuO3,342.0,20,167,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.733
0.737_LaBaMn2O6,train,515,BaLaMn2O6,335.0,10,123,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.737
0.74_Mn3Cu0.5Ge0.5N,test,526,Mn3CuN,380.0,5,221,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.74
0.757_CeFeO3,train,531,CeFeO3,720.0,20,62,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.757
0.766_YbMnSb2,train,537,YbMnSb2,345.0,8,129,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.766
0.767_SrMnSb2,train,538,SrMnSb2,565.0,16,62,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.767
0.768_SrMnSb2,train,539,SrMnSb2,304.0,16,62,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.768
0.771_PrMnSi2,val,542,PrMnSi2,434.0,8,63,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.771
0.773_NdMnSi2,train,543,NdMnSi2,40.0,8,63,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.773
0.774_NdMnSi2,train,544,NdMnSi2,441.0,8,63,recorded_temperature_ge300;identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.774
0.776_CeMnSi2,train,545,CeMnSi2,398.0,8,63,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.776
0.778_LaMnSi2,train,546,LaMnSi2,386.0,8,63,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.778
0.782_NdScO3,test,547,NdScO3,953.0,20,62,literature_unit_conflict_953_vs_0.953;recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.782
0.799_Sr2Co2O5,train,560,Sr2Co2O5,537.0,18,46,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.799
0.7_ScMnO3,train,562,ScMnO3,129.0,30,185,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.7
0.800_MnTe,train,564,MnTe,323.0,4,194,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.800
0.802_CuFeS2,train,565,FeCuS2,823.0,8,122,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.802
0.836_DyFeO3,train,64,DyFeO3,650.0,20,62,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.836
0.855_Mn2Sb,train,586,Mn2Sb,550.0,6,129,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.855
0.881_CuMnAs,train,171,MnCuAs,490.0,6,129,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.881
0.89_BaMn2Bi2,test,607,Ba(MnBi)2,390.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.89
0.8_ScMnO3,train,563,ScMnO3,75.0,30,185,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.8
0.904_Nd2PdGe6,train,611,Nd2Ge6Pd,4.0,36,64,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.904
0.919_EuMnBi2,train,333,EuMnBi2,337.0,8,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.919
0.927_Nd2PdGe6,train,612,Nd2Ge6Pd,5.0,36,64,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.927
0.965_LuFe2O4,train,641,Lu(FeO2)2,380.0,14,6,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.965
0.991_HoFeO3,train,662,HoFeO3,647.0,20,62,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.991
0.999_Fe4O5,train,2,Fe4O5,320.0,18,63,recorded_temperature_ge300;identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.999
1.0.46_Ba3MnSb2O9,train,689,Ba3MnSb2O9,0.0,30,15,recorded_zero_requires_source_check,https://www.cryst.ehu.es/magndata/index.php?this_label=1.0.46
1.0.53_Ho2Ni2Pb,train,691,Ho2Ni2Pb,0.0,5,65,recorded_zero_requires_source_check,https://www.cryst.ehu.es/magndata/index.php?this_label=1.0.53
1.110_ScMn6Ge6,train,712,Sc(MnGe)6,516.0,13,191,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.110
1.130_Cr2As,val,732,Cr2As,393.0,6,129,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.130
1.131_Fe2As,val,733,Fe2As,353.0,6,129,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.131
1.132_Mn2As,val,734,Mn2As,573.0,6,129,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.132
1.143_Mn3Pt,train,62,Mn3Pt,475.0,4,221,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.143
1.160_UP,train,756,UP,122.0,2,225,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=1.160
1.186_SrRu2O6,train,776,Sr(RuO3)2,565.0,9,162,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.186
1.251_NdCo2P2,train,845,Nd(CoP)2,309.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.251
1.253_CeCo2P2,train,847,Ce(CoP)2,440.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.253
1.263_Ca3Ru2O7,train,856,Ca3Ru2O7,56.0,24,36,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=1.263
1.281_YBaCuFeO5,train,870,BaYFeCuO5,446.0,9,99,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.281
1.324_DyMn2O5,train,900,DyMn2O5,4.0,32,55,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=1.324
1.35_LiErF4,train,930,LiErF4,373.0,12,88,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.35
1.371_Nd2NiO4,train,284,Nd2NiO4,320.0,14,64,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.371
1.389_Sr2CoO3Cl,test,948,Sr2CoClO3,330.0,14,129,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.389
1.3_Sr2IrO4,train,951,Sr2IrO4,240.0,28,142,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=1.3
1.401_Nd5Pb3,train,954,Nd5Pb3,8.0,16,193,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=1.401
1.402_Nd5Pb3,train,955,Nd5Pb3,44.0,16,193,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=1.402
1.420_YBa2Cu3O6,train,971,Ba2Y(CuO2)3,420.0,12,123,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.420
1.42_La2NiO4,test,366,La2NiO4,330.0,14,64,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.42
1.451_Nd6Fe13Sn,train,992,Nd6Fe13Sn,433.0,40,140,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.451
1.452_FeSn,train,993,FeSn,373.0,6,191,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.452
1.461_Sr2Cr3As2O2,train,1000,Sr2Cr3(AsO)2,590.0,9,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.461
1.469_YMn2Si2,train,1005,Y(MnSi)2,410.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.469
1.489_CeMn2Si2,train,1015,Ce(MnSi)2,384.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.489
1.490_CeMn2Si2,train,1016,Ce(MnSi)2,380.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.490
1.491_PrMn2Si2,train,1019,Pr(MnSi)2,348.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.491
1.492_PrMn2Si2,train,1020,Pr(MnSi)2,368.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.492
1.493_NdMn2Si2,train,1021,Nd(MnSi)2,382.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.493
1.494_NdMn2Si2,train,1022,Nd(MnSi)2,380.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.494
1.495_YMn2Si2,train,1006,Y(MnSi)2,460.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.495
1.496_YMn2Ge2,train,1024,Y(MnGe)2,395.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.496
1.4_YBa2Cu3O6+d,train,1029,Cu,410.0,3,123,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.4
1.508_Mn2AlB2,train,1035,Mn2AlB2,390.0,5,65,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.508
1.550_LiMnAs,train,1057,LiMnAs,393.0,6,129,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.550
1.555_Mn3B4,test,1059,Mn3B4,392.0,7,71,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.555
1.556_FeSn2,train,1060,FeSn2,378.0,6,140,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.556
1.557_FeGe2,val,1062,FeGe2,315.0,6,140,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.557
1.558_MnSn2,test,1064,MnSn2,325.0,6,140,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.558
1.584_PrFeAsO,train,1082,PrFeAsO,14.0,8,129,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=1.584
1.585_PrFeAsO,train,1083,PrFeAsO,85.0,8,129,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=1.585
1.586_PrFeAsO,train,1084,PrFeAsO,21.0,8,129,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=1.586
1.629_FeGe,train,1102,FeGe,410.0,6,191,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.629
1.630_LuMn6Sn6,val,1104,Lu(MnSn)6,353.0,13,191,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.630
1.631_YMn6Ge6,val,1105,Y(MnGe)6,482.0,13,191,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.631
1.633_YFe6Sn6,train,1106,Y(FeSn)6,558.0,39,71,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.633
1.65_SrFeO2,train,1120,SrFeO2,473.0,4,123,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.65
1.664_DyVO4,train,1126,DyVO4,0.0,12,141,recorded_zero_requires_source_check,https://www.cryst.ehu.es/magndata/index.php?this_label=1.664
1.689_LuMn2Ge2,train,1138,Lu(MnGe)2,508.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.689
1.690_TmMn2Ge2,train,1140,Tm(MnGe)2,487.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.690
1.694_TbMn2Ge2,train,1141,Tb(MnGe)2,413.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.694
1.6_NiO,train,1147,NiO,523.0,2,225,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.6
1.702_YBaCo2O5,train,1151,BaYCo2O5,330.0,9,123,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.702
1.745_La2Co3,test,1177,La2Co3,310.0,10,64,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.745
1.76_DyMn2O5,train,902,DyMn2O5,40.0,32,55,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=1.76
1.778_ThCr2Si2C,train,1203,ThCr2Si2C,370.0,6,123,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.778
1.77_Sr2IrO4,train,952,Sr2IrO4,224.0,28,142,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=1.77
1.793_Ca3Ru2O7,train,857,Ca3Ru2O7,7.0,24,36,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=1.793
1.794_Ca3Ru2O7,train,858,Ca3Ru2O7,60.0,24,36,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=1.794
1.800_NiO,train,1148,NiO,525.0,2,225,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.800
1.801_Tb3NbO7,train,1214,Tb3NbO7,0.0,22,20,recorded_zero_requires_source_check,https://www.cryst.ehu.es/magndata/index.php?this_label=1.801
